fixation id,frame,x,y,duration [ms]
413,3307,1036.742,290.689,345
414,3316,1072.931,443.459,180
415,3338,363.376,547.595,85
416,3341,390.146,506.635,80
417,3348,748.103,469.2,245
418,3355,820.595,473.02,220
419,3364,988.889,422.328,115
420,3370,1378.402,409.778,125
421,3374,1278.353,421.409,115
422,3377,1225.746,429.928,240
423,3385,874.355,520.208,140
424,3389,705.577,549.648,235
425,3397,1215.828,472.576,95
426,3404,1217.866,400.979,415
427,3419,1032.713,399.66,205
428,3425,865.996,432.686,200
429,3431,900.034,420.648,155
430,3436,1045.044,410.711,345
431,3446,1241.639,427.998,190
432,3452,1257.398,420.702,90
433,3471,570.229,407.264,135
434,3479,423.135,562.991,240
435,3507,1197.38,285.609,155
436,3524,485.791,453.063,110
437,3528,418.913,471.154,115
438,3532,488.735,422.394,140
439,3538,991.508,394.036,150
440,3555,393.958,351.739,285
441,3564,797.834,284.529,230
442,3571,458.894,301.419,160
443,3577,419.077,351.787,120
444,3582,1019.9,383.089,140
445,3588,1187.088,297.703,80
446,3591,1063.561,414.388,110
447,3599,637.905,333.76,175
448,3607,730.28,205.439,85
449,3614,765.407,304.556,85
450,3632,790.758,192.279,85
451,3637,491.632,328.616,170
452,3643,431.763,409.552,100
453,3646,497.533,353.185,100
454,3652,1097.727,233.523,95
455,3675,1056.621,314.992,135
456,3679,1129.997,302.669,130
457,3695,703.485,254.164,85
458,3712,1204.658,258.351,140
459,3717,1022.832,377.523,105
460,3724,1067.094,272.089,155
461,3731,695.934,249.094,185
462,3736,765.312,234.534,245
463,3743,913.511,298.276,150
464,3748,855.363,230.926,225
465,3754,763.778,290.55,285
466,3762,933.45,330.929,110
467,3767,772.305,295.805,240
468,3781,983.841,288.123,240
469,3789,1016.195,270.662,220
470,3795,823.505,335.933,85
471,3801,920.208,337.712,100
472,3806,814.097,187.143,85
473,3809,834.238,243.819,541
474,3823,905.052,366.496,190
475,3835,1030.238,243.897,200
476,3841,1081.215,336.413,75
477,3843,1016.87,333.977,90
478,3847,775.625,388.857,350
479,3856,846.676,393.535,330
480,3865,852.485,398.159,200
481,3874,791.792,459.71,205
482,3879,788.367,435.503,165
483,3884,788.944,369.967,150
484,3889,784.128,241.483,185
485,3895,811.932,507.448,220
486,3902,836.444,300.522,175
487,3907,841.149,286.471,200
488,3914,621.429,309.514,205
489,3920,790.528,258.994,355
490,3930,573.573,302.399,195
491,3935,662.955,315.034,115
492,3938,613.834,273.619,200
493,3945,981.016,273.047,230
494,3955,493.72,372.297,290
495,3962,581.632,366.802,135
496,3966,591.179,360.529,225
497,3974,1032.407,353.877,245
498,3981,981.232,455.615,110
499,3985,1028.923,288.26,200
500,3991,958.362,281.236,130
501,4002,962.745,230.333,100
502,4009,872.05,483.739,135
503,4014,852.194,366.428,125
504,4025,947.343,300.56,90
505,4027,923.956,310.519,80
506,4035,827.15,526.022,115
507,4040,845.781,368.257,135
508,4049,801.139,325.857,390
509,4059,1036.799,323.642,125
510,4064,948.611,342.165,125
511,4068,941.458,284.621,90
512,4076,754.048,563.666,115
513,4083,832.114,616.893,105
514,4088,861.008,460.649,175
515,4093,857.211,429.822,125
516,4097,826.723,343.084,315
517,4105,732.436,347.857,80
518,4108,725.565,315.409,205
519,4120,1226.991,426.094,140
520,4124,1249.0,418.295,130
521,4138,786.132,316.235,110
522,4142,788.644,292.564,85
523,4145,766.415,339.338,110
524,4149,762.498,299.796,295
525,4157,920.596,289.335,175
526,4162,868.986,334.93,85
527,4167,764.369,391.863,195
528,4173,742.326,236.918,120
529,4179,782.294,414.544,270
530,4186,708.057,461.872,260
531,4194,939.104,456.113,245
532,4201,737.844,439.378,265
533,4208,672.079,381.677,295
534,4216,720.583,376.711,275
535,4224,652.82,324.828,425
536,4235,714.436,324.116,235
537,4242,878.063,347.712,205
538,4248,933.897,485.902,170
539,4253,885.561,356.467,135
540,4259,858.805,328.64,175
541,4264,755.77,323.077,250
542,4271,786.8,299.823,105
543,4274,801.41,371.281,100
544,4278,528.984,372.213,230
545,4287,600.247,272.066,80
546,4292,638.703,356.012,150
547,4296,520.554,306.774,100
548,4302,396.384,313.904,105
549,4306,758.358,330.92,210
550,4312,474.175,355.849,255
551,4320,625.856,301.732,105
552,4324,884.273,308.292,205
553,4330,876.576,282.571,415
554,4341,810.791,332.432,300
555,4348,780.031,332.761,145
556,4355,816.347,307.081,545
557,4374,707.926,285.102,105
558,4377,712.167,287.851,95
559,4381,571.315,281.344,190
560,4386,570.552,302.168,175
561,4391,571.819,269.894,776
562,4410,486.622,248.817,90
563,4416,586.935,323.734,100
564,4418,566.22,268.676,140
565,4422,547.036,257.089,90
566,4427,843.025,378.082,135
567,4432,871.962,408.225,210
568,4438,1001.017,229.332,180
569,4442,999.05,233.394,105
570,4446,962.715,210.923,145
571,4450,809.35,332.295,230
572,4459,864.818,305.997,160
573,4464,838.773,452.682,165
574,4472,834.479,400.123,110
575,4476,809.013,275.779,220
576,4482,784.588,293.916,175
577,4488,804.999,510.086,80
578,4494,795.942,278.948,145
579,4498,708.716,295.748,190
580,4504,660.886,304.248,80
581,4506,725.673,271.874,155
582,4512,784.983,285.334,536
583,4526,809.409,331.147,370
584,4536,810.385,489.132,165
585,4541,834.678,358.281,275
586,4550,827.36,257.237,320
587,4559,913.22,245.841,440
588,4571,813.193,432.352,280
589,4582,859.363,259.856,275
590,4590,796.489,376.659,240
591,4597,821.891,264.697,581
592,4614,814.061,286.106,160
593,4619,947.45,470.162,260
